Countries,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,Smoking,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
Kuwait,23.31530207,107.6826141,415.4550423,111.7481521,17.51369601,318.6665975,1074.331136,315.0863811,705.1100149,475.3705579
Kyrgyzstan,3199.33249,723.7820816,2737.254403,811.1252001,285.9126072,1160.548284,3800.929919,1934.641291,3727.634193,2417.312171
Laos,1710.09601,198.5555507,2020.430267,819.1919251,695.9110426,559.9382202,5375.053054,2489.555373,1570.701718,1508.726074
Latvia,1900.997983,275.4629562,1864.561207,1117.690934,159.9038889,1381.452665,4123.168757,1827.807106,2521.817151,1812.930758
Lebanon,495.4789082,561.0621094,1153.911056,430.1230952,152.5934553,1533.716808,6405.711047,1075.460236,3156.006768,1163.734344
Lesotho,2687.322097,222.9435091,897.6358155,542.6691709,5820.436267,194.3701095,1852.831943,282.5378529,540.7442703,467.4745953
Liberia,1345.891498,142.7223962,764.6508953,656.6837449,1834.287651,266.8645219,927.9646239,245.5233507,837.5824582,584.4000549
Libya,76.4674633,873.7039315,1771.760171,1218.060718,179.8458737,1400.26774,2751.850828,1043.190009,3245.570468,2329.983533
Lithuania,3944.790396,450.1928761,2361.692897,1799.529473,207.9759365,2231.970889,5641.804972,2798.715004,3582.358993,3186.895666
Low SDI,324179.1104,34965.3299,292753.9909,211933.6086,250239.6442,93320.99988,587759.8865,133748.1373,290368.1893,209871.1699
Low-middle SDI,523806.5013,91680.09358,490201.4685,301045.7709,359607.3602,204645.1392,1027021.353,364847.3576,615299.0431,407305.7686
Luxembourg,417.047775,48.31013789,34.85389006,93.48352502,13.92984135,106.0486242,670.861559,145.049547,163.1449174,89.49976814
Madagascar,2882.482695,544.3940717,6547.399754,5155.406168,3773.152186,1039.984734,5820.852189,2734.968443,5473.361473,3130.81945
Malawi,4234.260739,372.3588376,2416.803392,2093.327102,17021.6627,774.5418355,3825.578819,1330.65056,2016.387337,1928.745049
Malaysia,7002.82114,1704.398649,7617.872181,7425.815829,1531.584807,4708.038875,23650.09053,13853.16549,10663.79243,8000.009437
Maldives,8.487894067,10.20060074,37.1307784,45.75878438,6.400966615,28.74984706,170.493631,92.56779358,85.10846955,28.65773356
Mali,2116.729527,453.7082716,3159.25597,1967.309015,5036.817339,1000.775682,2594.435775,1094.936491,3081.551897,1862.466595
Malta,-10.18857116,21.15206609,142.8618257,45.40391902,10.56524885,169.9263468,627.1903014,151.3943181,277.8562043,179.6645465
Marshall Islands,3.166405801,3.313615241,28.95252939,25.03052599,6.019270161,11.63954494,43.09421408,20.24769296,40.03276744,24.5652745
Mauritania,162.6424969,87.4307606,762.6077369,560.3760705,217.0270715,258.3465586,526.5809138,285.7235374,834.1812355,471.914062
Mauritius,237.6900144,104.8156889,596.6551011,344.2657356,126.278253,285.415446,1125.890983,920.3968699,840.351745,592.0546366
Mexico,52225.01556,11645.7604,17182.95798,19070.70814,10577.32407,14314.15416,51575.45497,11084.55847,17237.42313,29312.50992
Micronesia (country),1.718354061,5.280949958,49.53238048,42.09821568,32.71769528,22.39290934,80.39511966,35.95764866,69.93390386,45.25470552
Middle SDI,843368.6145,152664.8888,713921.3101,429872.0088,304322.059,305556.8988,1976935.949,1207526.091,849935.948,575741.5826
Moldova,4187.750827,701.7515673,3292.673089,2035.897026,279.7502071,1711.158055,6386.435459,2261.243038,4008.785151,3321.972541
Mongolia,2570.908762,384.6964017,1782.741874,1158.779508,148.8995044,336.5749837,2933.948223,1258.929783,2000.74094,930.807648
Montenegro,862.9439106,44.42851544,165.5762037,33.95036692,26.2211702,176.3680793,1723.68107,485.3248695,627.3285207,302.5029282
Morocco,2998.002399,1650.233221,8269.112962,7416.9086,1412.989502,11835.6842,18401.83116,8040.339767,26035.14299,16913.36342
Mozambique,8520.150698,1120.45585,6595.652759,4440.09531,45067.56049,1063.596061,9799.240138,2452.546228,6119.526641,2619.853967
Myanmar,13213.4681,4842.441342,16760.22173,7406.034688,7233.455766,4067.655928,68091.86506,16705.29554,13244.07783,7624.470037
Namibia,1330.944879,163.7654738,510.6002789,356.7541246,3493.872623,209.6978775,1148.135903,222.8925094,480.1418939,341.1679098
Nepal,6325.414888,931.2663359,7907.789447,3987.924618,2891.400292,2755.501227,23557.88028,6567.020246,8114.633353,7409.352269
Netherlands,5852.285326,777.229903,3186.386343,3033.567657,462.0344666,2933.376763,30790.92606,3285.571704,5199.904768,3094.032935
